name,short_name,gender,birth_date,country,discipline,function,url
ABAEVA Elena,ABAEVA E,Female,1966-04-21,Uzbekistan,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1510602-abaeva-elena.htm
ABBAR Bachir,ABBAR B,Male,1965-05-03,Morocco,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503804-abbar-bachir.htm
ABDELLATIF Makfouni,ABDELLATIF M,Male,1972-11-23,Morocco,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503889-abdellatif-makfouni.htm
ABE Miya,ABE M,Female,1992-10-27,Japan,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1448401-abe-miya.htm
ACIGA FULA Antonio Stephen,ACIGA FULA AS,Male,1957-11-28,Uganda,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503890-aciga-fula-antonio-stephen.htm
AEBA Kazue,AEBA K,Female,1977-08-10,Japan,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1362866-aeba-kazue.htm
AGNIESZKA Myszkowska,AGNIESZKA M,Female,1977-04-16,Poland,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1717693-agnieszka-myszkowska.htm
AHADPOUR Raheleh,AHADPOUR R,Female,1985-05-13,Islamic Republic of Iran,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1692769-ahadpour-raheleh.htm
AHLERING Julie,AHLERING J,Female,1959-03-12,United States of America,Diving,Judge,../../../en/results/diving/athlete-profile-n1572038-ahlering-julie.htm
AKASE Hiroyuki,AKASE H,Male,1988-04-28,Japan,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1362868-akase-hiroyuki.htm
AKASHI Naoki,AKASHI N,Male,1979-03-16,Japan,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1360946-akashi-naoki.htm
AKHMETOV Meirambek,AKHMETOV M,Male,1961-11-07,Kyrgyzstan,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1543265-akhmetov-meirambek.htm
AL ALAWI Abdul Monem Khamis Abddul,AL ALAWI AMKA,Male,1969-10-05,Oman,Diving,Judge,../../../en/results/diving/athlete-profile-n1698039-al-alawi-abdul-monem-khamis-abddul.htm
AL ALAWI Abdul Monem Khamis Abddul,AL ALAWI A,Male,1969-10-05,Oman,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1698039-al-alawi-abdul-monem-khamis-abddul.htm
AL DEGAITHER Nasser,AL DEGAITHER N,Male,1966-10-15,Saudi Arabia,Diving,Judge,../../../en/results/diving/athlete-profile-n1572087-al-degaither-nasser.htm
AL MARRI Abdulla,AL MARRI A,Male,1992-12-16,Qatar,Football,Video Assistant Referee (VAR),../../../en/results/football/athlete-profile-n1561957-al-marri-abdulla.htm
ALEXANDRESCU Adrian,ALEXANDRESCU A,Male,1970-02-06,Romania,Water Polo,Referee,../../../en/results/water-polo/athlete-profile-n1571982-alexandrescu-adrian.htm
ALKALAF Mohammad,ALKALAF M,Male,1981-01-24,Jordan,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561956-alkalaf-mohammad.htm
ALONSO Maribel,ALONSO M,Female,1954-02-20,Mexico,Equestrian,Jury Member,../../../en/results/equestrian/athlete-profile-n1505009-alonso-maribel.htm
ALPAIDZE Viktoriia,ALPAIDZE V,Female,1987-05-08,Russian Federation,Handball,Referee,../../../en/results/handball/athlete-profile-n1421659-alpaidze-viktoriia.htm
ALROALLE Ahmad,ALROALLE A,Male,1979-06-30,Jordan,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561958-alroalle-ahmad.htm
ALROUSI Hamid,ALROUSI H,Male,1965-07-01,United Arab Emirates,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1629785-alrousi-hamid.htm
ALSAFFAR Bashar,ALSAFFAR B,Male,1978-04-16,Kuwait,Diving,Judge,../../../en/results/diving/athlete-profile-n1572013-alsaffar-bashar.htm
ALSAFFAR Bashar,ALSAFFAR B,Male,1978-04-16,Kuwait,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1572013-alsaffar-bashar.htm
ALVES Edina,ALVES E,Female,1980-01-10,Brazil,Football,Referee,../../../en/results/football/athlete-profile-n1561959-alves-edina.htm
AMANO Akiko,AMANO A,Female,1970-10-31,Japan,Judo,Judge,../../../en/results/judo/athlete-profile-n1334038-amano-akiko.htm
AMAWI Adam,AMAWI A,Male,1985-08-20,Jordan,Taekwondo,Referee,../../../en/results/taekwondo/athlete-profile-n1496749-amawi-adam.htm
AMBOYA Monica,AMBOYA M,Female,1982-06-09,Ecuador,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561960-amboya-monica.htm
ANCO BOBADILLA Miguel,ANCO BOBADILLA M,Male,1963-04-07,Peru,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503915-anco-bobadilla-miguel.htm
ARAI Yuji,ARAI Y,Male,1969-11-20,Japan,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1488206-arai-yuji.htm
ARAYA Raul Jose,ARAYA RJ,Male,1960-07-18,Argentina,Diving,Judge,../../../en/results/diving/athlete-profile-n1573147-araya-raul-jose.htm
ARAYA Raul Jose,ARAYA R,Male,1960-07-18,Argentina,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1573147-araya-raul-jose.htm
ARBLASTER Ryan,ARBLASTER R,Male,1979-12-25,Australia,Diving,Judge,../../../en/results/diving/athlete-profile-n1573200-arblaster-ryan.htm
ARBLASTER Ryan,ARBLASTER R,Male,1979-12-25,Australia,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1573200-arblaster-ryan.htm
ARENA Renato,ARENA R,Male,1955-05-12,Italy,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1629913-arena-renato.htm
ARIMURA Kumiko,ARIMURA K,Female,1975-11-18,Japan,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1363367-arimura-kumiko.htm
ASADA Masako,ASADA M,Female,1971-01-08,Japan,Diving,Judge,../../../en/results/diving/athlete-profile-n1727423-asada-masako.htm
ASAI Tadayoshi,ASAI T,Male,1972-04-19,Japan,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1362899-asai-tadayoshi.htm
ASHOUR Mahmoud,ASHOUR M,Male,1976-11-10,Egypt,Football,Video Assistant Referee (VAR),../../../en/results/football/athlete-profile-n1561961-ashour-mahmoud.htm
ATKINS Kyle,ATKINS K,Male,1986-12-23,United States of America,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561962-atkins-kyle.htm
AVASILOAE Florin,AVASILOAE F,Male,1969-08-21,Romania,Diving,Judge,../../../en/results/diving/athlete-profile-n1571995-avasiloae-florin.htm
AXTELIUS Peter,AXTELIUS P,Male,1979-11-03,Sweden,Diving,Judge,../../../en/results/diving/athlete-profile-n1572017-axtelius-peter.htm
AZMY Mohamed,AZMY M,Male,1980-07-12,Egypt,Taekwondo,Referee,../../../en/results/taekwondo/athlete-profile-n1490426-azmy-mohamed.htm
AZORIN Daniel,AZORIN D,Male,1961-06-25,France,Diving,Judge,../../../en/results/diving/athlete-profile-n1572003-azorin-daniel.htm
AZZOUG Mohamed,AZZOUG M,Male,1959-04-19,Algeria,Judo,Judge,../../../en/results/judo/athlete-profile-n1331407-azzoug-mohamed.htm
BABANLI Anar,BABANLI A,Male,1979-09-30,Azerbaijan,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503809-babanli-anar.htm
BABIUC Ioana,BABIUC I,Female,1975-01-07,Romania,Judo,Judge,../../../en/results/judo/athlete-profile-n1484174-babiuc-ioana.htm
BACK Neuza,BACK N,Female,1984-08-11,Brazil,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561963-back-neuza.htm
BAKE Giovanni,BAKE G,Male,1975-10-21,South Africa,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1722355-bake-giovanni.htm
BALDE Alpha Amadou,BALDE AA,Male,1983-03-09,Guinea,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503902-balde-alpha-amadou.htm
BALFANBAYEV Alan,BALFANBAYEV A,Male,1964-07-19,Kazakhstan,Diving,Judge,../../../en/results/diving/athlete-profile-n1573171-balfanbayev-alan.htm
BAPTISTA Luis,BAPTISTA L,Male,1960-11-30,Portugal,Diving,Judge,../../../en/results/diving/athlete-profile-n1572088-baptista-luis.htm
BAPTISTA Luis,BAPTISTA L,Male,1960-11-30,Portugal,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1572088-baptista-luis.htm
BARBOSA Rui,BARBOSA R,Male,1974-08-01,Portugal,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561964-barbosa-rui.htm
BARGAILA Deividas,BARGAILA D,Male,1977-10-15,Lithuania,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1510895-bargaila-deividas.htm
BARRIENTOS MARTINEZ Alejandro,BARRIENTOS MARTIN.,Male,1971-09-20,Cuba,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503810-barrientos-martinez-alejandro.htm
BARTON Ivan,BARTON I,Male,1991-01-27,El Salvador,Football,Referee,../../../en/results/football/athlete-profile-n1561965-barton-ivan.htm
BASHEV Mihail,BASHEV M,Male,1984-12-08,Bulgaria,Handball,Referee,../../../en/results/handball/athlete-profile-n1410898-bashev-mihail.htm
BATAILLE Matthieu,BATAILLE M,Male,1978-07-26,France,Judo,Judge,../../../en/results/judo/athlete-profile-n1331548-bataille-matthieu.htm
BAZULIN Aleksei,BAZULIN A,Male,1978-04-09,Russian Federation,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1543317-bazulin-aleksei.htm
BEATH Chris,BEATH C,Male,1984-11-17,Australia,Football,Referee,../../../en/results/football/athlete-profile-n1561966-beath-chris.htm
BEATIE Brig,BEATIE B,Male,1970-08-11,United States of America,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1722450-beatie-brig.htm
BEBIC Milivoj,BEBIC M,Male,1959-08-29,Croatia,Diving,Judge,../../../en/results/diving/athlete-profile-n1698433-bebic-milivoj.htm
BECK Melanie,BECK M,Female,1965-06-25,Great Britain,Diving,Judge,../../../en/results/diving/athlete-profile-n1573192-beck-melanie.htm
BECK Melanie,BECK M,Female,1965-06-25,Great Britain,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1573192-beck-melanie.htm
BEECH Paul,BEECH P,Male,1982-02-27,Australia,Diving,Judge,../../../en/results/diving/athlete-profile-n1572063-beech-paul.htm
BEIDA Dahane,BEIDA D,Male,1991-12-31,Mauritania,Football,Referee,../../../en/results/football/athlete-profile-n1561968-beida-dahane.htm
BEKPENBETOV Bakytzhan,BEKPENBETOV B,Male,1972-09-02,Kazakhstan,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503813-bekpenbetov-bakytzhan.htm
BELKHIRI Youcef,BELKHIRI Y,Male,1991-07-25,Algeria,Handball,Referee,../../../en/results/handball/athlete-profile-n1449965-belkhiri-youcef.htm
BENGISUN Gonenc,BENGISUN G,Male,1988-08-24,Turkey,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1629898-bengisun-gonenc.htm
BENGISUN Gonenc,BENGISUN G,Male,1988-08-24,Turkey,Volleyball,Referee,../../../en/results/volleyball/athlete-profile-n1629898-bengisun-gonenc.htm
BENNETT John,BENNETT J,Male,1974-05-14,Australia,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1629410-bennett-john.htm
BEREZKINA Tatiana,BEREZKINA T,Female,1987-07-15,Russian Federation,Handball,Referee,../../../en/results/handball/athlete-profile-n1421665-berezkina-tatiana.htm
BESMI Mohamed,BESMI M,Male,1962-02-19,Algeria,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503814-besmi-mohamed.htm
BILBAO Maria,BILBAO M,Female,1954-07-12,Spain,Diving,Judge,../../../en/results/diving/athlete-profile-n1572040-bilbao-maria.htm
BILBAO Maria,BILBAO M,Female,1954-07-12,Spain,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1572040-bilbao-maria.htm
BILETSKYI Igor,BILETSKYI I,Male,1960-08-04,Ukraine,Boxing,Judge,../../../en/results/boxing/athlete-profile-n1503972-biletskyi-igor.htm
BIN JAHARI Muhammad,BIN JAHARI M,Male,1986-10-25,Singapore,Football,Video Assistant Referee (VAR),../../../en/results/football/athlete-profile-n1561969-bin-jahari-muhammad.htm
BIRD Daphne,BIRD D,Female,1948-08-02,South Africa,Diving,Judge,../../../en/results/diving/athlete-profile-n1573199-bird-daphne.htm
BIRD Daphne,BIRD D,Female,1948-08-02,South Africa,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1573199-bird-daphne.htm
BLANCO Mary,BLANCO M,Female,1984-12-08,Colombia,Football,Assistant Referee,../../../en/results/football/athlete-profile-n1561970-blanco-mary.htm
BOCK Stephen,BOCK S,Male,1984-05-16,United States of America,Beach Volleyball,Referee,../../../en/results/beach-volleyball/athlete-profile-n1628612-bock-stephen.htm
BOELAERT Federico,BOELAERT F,Male,1977-02-19,Argentina,Basketball,Jury Member,../../../en/results/basketball/athlete-profile-n1632097-boelaert-federico.htm
BOGOMILOVA Tanya,BOGOMILOVA T,Female,1964-06-30,Bulgaria,Diving,Judge,../../../en/results/diving/athlete-profile-n1571973-bogomilova-tanya.htm
BOGOMILOVA Tanya,BOGOMILOVA T,Female,1964-06-30,Bulgaria,Water Polo,Judge,../../../en/results/water-polo/athlete-profile-n1571973-bogomilova-tanya.htm
BONAVENTURA Charlotte,BONAVENTURA C,Female,1980-08-02,France,Handball,Referee,../../../en/results/handball/athlete-profile-n1418786-bonaventura-charlotte.htm
BONAVENTURA Julie,BONAVENTURA J,Female,1980-08-02,France,Handball,Referee,../../../en/results/handball/athlete-profile-n1418802-bonaventura-julie.htm
BORJANOVIC Borislav,BORJANOVIC B,Male,1981-05-23,Serbia,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1512952-borjanovic-borislav.htm
BORJAS Melissa,BORJAS M,Female,1986-10-20,Honduras,Football,Referee,../../../en/results/football/athlete-profile-n1561971-borjas-melissa.htm
BOUAZIZ Youssef,BOUAZIZ Y,Male,1991-12-21,Tunisia,Wrestling,Judge,../../../en/results/wrestling/athlete-profile-n1511129-bouaziz-youssef.htm
